Ticker,StandaloneEquityValue,ControlPremium,PV_Synergies,IntegrationCost,CreditMark,IdentifiableIntangibles,AdjustedNetAssets,IllustrativeConsideration,IllustrativeOfferPerShare,ImpliedPB,ImpliedPTBV,Goodwill,DataType
VCB,,0.2,0.0,0.0,0.0,0.0,,,,,,,SCENARIO_ASSUMPTION
BID,,0.2,0.0,0.0,0.0,0.0,,,,,,,SCENARIO_ASSUMPTION
CTG,,0.2,0.0,0.0,0.0,0.0,,,,,,,SCENARIO_ASSUMPTION
TCB,,0.2,0.0,0.0,0.0,0.0,,,,,,,SCENARIO_ASSUMPTION
MBB,,0.2,0.0,0.0,0.0,0.0,,,,,,,SCENARIO_ASSUMPTION
ACB,,0.2,0.0,0.0,0.0,0.0,,,,,,,SCENARIO_ASSUMPTION
HDB,,0.2,0.0,0.0,0.0,0.0,,,,,,,SCENARIO_ASSUMPTION
VPB,,0.2,0.0,0.0,0.0,0.0,,,,,,,SCENARIO_ASSUMPTION
STB,,0.2,0.0,0.0,0.0,0.0,,,,,,,SCENARIO_ASSUMPTION
VIB,,0.2,0.0,0.0,0.0,0.0,,,,,,,SCENARIO_ASSUMPTION
SHB,,0.2,0.0,0.0,0.0,0.0,,,,,,,SCENARIO_ASSUMPTION
TPB,,0.2,0.0,0.0,0.0,0.0,,,,,,,SCENARIO_ASSUMPTION
LPB,,0.2,0.0,0.0,0.0,0.0,,,,,,,SCENARIO_ASSUMPTION
OCB,,0.2,0.0,0.0,0.0,0.0,,,,,,,SCENARIO_ASSUMPTION
MSB,,0.2,0.0,0.0,0.0,0.0,,,,,,,SCENARIO_ASSUMPTION
SSB,,0.2,0.0,0.0,0.0,0.0,,,,,,,SCENARIO_ASSUMPTION
EIB,,0.2,0.0,0.0,0.0,0.0,,,,,,,SCENARIO_ASSUMPTION
NAB,,0.2,0.0,0.0,0.0,0.0,,,,,,,SCENARIO_ASSUMPTION
KLB,,0.2,0.0,0.0,0.0,0.0,,,,,,,SCENARIO_ASSUMPTION
BAB,,0.2,0.0,0.0,0.0,0.0,,,,,,,SCENARIO_ASSUMPTION
