id,item,level,order,unit,2022-Q2,2022-Q3,2022-Q4,2023,2023-Q1,2023-Q2,2023-Q3,2023-Q4,2024,2024-Q1,2024-Q2,2024-Q3,2024-Q4,2025,2025-Q1,2025-Q2,2025-Q3,2025-Q4,2026-Q1,2026-Q2
IS_PROFIT_BEFORE_TAX,IS_PROFIT_BEFORE_TAX,1,8,VNĐ,185275000000.0,284112000000.0,357397000000.0,1060834000000.0,335087000000.0,138993000000.0,77115000000.0,509639000000.0,1260278000000.0,338590000000.0,203391000000.0,271259000000.0,447038000000.0,1473569000000.0,367301000000.0,303837000000.0,145184000000.0,657247000000.0,378249000000.0,303940000000.0
IS_NET_PROFIT_AFTER_TAX,IS_NET_PROFIT_AFTER_TAX,1,9,VNĐ,148129000000.0,228147000000.0,286579000000.0,854367000000.0,269083000000.0,111218000000.0,63839000000.0,410227000000.0,1011255000000.0,270872000000.0,162814000000.0,217007000000.0,360663000000.0,1189601000000.0,293210000000.0,243251000000.0,118127000000.0,535013000000.0,300085000000.0,243147000000.0
IS_MINORITY_INTEREST,IS_MINORITY_INTEREST,1,10,VNĐ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BS_CASH_AND_PRECIOUS_METALS,BS_CASH_AND_PRECIOUS_METALS,1,11,VNĐ,683228000000.0,596229000000.0,711783000000.0,616570000000.0,652760000000.0,546913000000.0,597168000000.0,616570000000.0,566596000000.0,574229000000.0,635520000000.0,623818000000.0,566596000000.0,585389000000.0,596489000000.0,793081000000.0,601223000000.0,585389000000.0,696138000000.0,623834000000.0
BS_FIXED_ASSETS,BS_FIXED_ASSETS,1,18,VNĐ,756096000000.0,763209000000.0,761286000000.0,1052987000000.0,773657000000.0,1043472000000.0,1038540000000.0,1052987000000.0,1058591000000.0,1048162000000.0,1042737000000.0,1041930000000.0,1058591000000.0,1040596000000.0,1051933000000.0,1047645000000.0,1039051000000.0,1040596000000.0,1067690000000.0,1057534000000.0
BS_TOTAL_ASSETS,BS_TOTAL_ASSETS,1,19,VNĐ,124187607000000.0,124092667000000.0,128827228000000.0,152243071000000.0,133851621000000.0,135266042000000.0,145000607000000.0,152268345000000.0,165486693000000.0,149352566000000.0,154482470000000.0,156130215000000.0,165486693000000.0,195820302000000.0,175365541000000.0,184957884000000.0,191964536000000.0,195820302000000.0,193569826000000.0,214351093000000.0
BS_TOTAL_LIABILITIES,BS_TOTAL_LIABILITIES,1,23,VNĐ,114874949000000.0,114551862000000.0,118999845000000.0,141374812000000.0,123782107000000.0,124871538000000.0,134542575000000.0,141419866000000.0,153704243000000.0,138213435000000.0,143277589000000.0,144708428000000.0,153704243000000.0,182511398000000.0,163289881000000.0,172753879000000.0,179190604000000.0,182511398000000.0,179960958000000.0,200611703000000.0
BS_CHARTER_CAPITAL,BS_CHARTER_CAPITAL,1,24,VNĐ,7531355000000.0,8133863000000.0,8133863000000.0,8334266000000.0,8133863000000.0,8334266000000.0,8334266000000.0,8334266000000.0,8959336000000.0,8959336000000.0,8959336000000.0,8959336000000.0,8959336000000.0,10032190000000.0,9580218000000.0,9580218000000.0,10032190000000.0,10032190000000.0,10721402000000.0,10721402000000.0
CF_NET_CASH_FLOWS_FROM_OPERATING_ACTIVITIES,CF_NET_CASH_FLOWS_FROM_OPERATING_ACTIVITIES,1,26,VNĐ,2189027000000.0,-2005133000000.0,2978455000000.0,1355808000000.0,870519000000.0,-4099590000000.0,1264779000000.0,3620399000000.0,-3629664000000.0,-1681144000000.0,-122581000000.0,-2576836000000.0,750897000000.0,14247383000000.0,1421864000000.0,14755282000000.0,-6537859000000.0,4608096000000.0,3767915000000.0,2144777000000.0
CF_NET_CASH_FLOWS_FROM_INVESTING_ACTIVITIES,CF_NET_CASH_FLOWS_FROM_INVESTING_ACTIVITIES,1,27,VNĐ,-704000000.0,-12774000000.0,4044000000.0,-310209000000.0,-18019000000.0,-281061000000.0,4987000000.0,-16415000000.0,-44261000000.0,-7701000000.0,-7205000000.0,-16203000000.0,-13152000000.0,18730000000.0,-6257000000.0,-4701000000.0,6585000000.0,23103000000.0,-40066000000.0,488000000.0
RT_VALUE_PE,P/E Ratio,1,29,lần,16.3187086968,14.5560460568,13.4401155435,12.9890906446,12.3026888866,12.3424752473,15.1548243921,13.1407688369,11.9937958406,13.0711873312,12.1075925547,9.9649516046,10.3262160475,9.7141789402,11.3225955844,11.5949062365,12.0375044338,9.8175220929,10.7144073264,10.1527822268
RT_VALUE_PB,P/B Ratio,1,30,lần,1.2664592569,1.1253452605,1.1303737082,0.9202135503,1.1251532901,1.0824239131,1.070867877,1.0386910994,0.9276839639,0.9812606057,0.9595107439,0.9256009568,0.88627052,0.7990230751,0.9864175977,1.0621965575,0.9974126965,0.9022508729,0.957010024,0.8891979622
RT_PRT_ROE,ROE %,1,33,%,0.0792082105,0.0794147021,0.0883235532,0.0826725835,0.0961991579,0.089879732,0.0717280164,0.0826725835,0.0892912447,0.0780927311,0.0813710296,0.0951193248,0.0892912447,0.0948215868,0.0889490319,0.0938533653,0.0831558705,0.0948215868,0.0922215746,0.0895637286
RT_PRT_ROA,ROA %,1,34,%,0.0061195849,0.0060815095,0.0066980538,0.0060801118,0.0072955973,0.006857951,0.0053833691,0.0060801118,0.0063655037,0.0057493994,0.005908941,0.006931472,0.0063655037,0.0065849874,0.0063468897,0.0065350644,0.0056577701,0.0065849874,0.0062453682,0.0060141427
RT_BANK_NIM,Net Interest Margin (NIM),1,35,%,0.0199121007,0.020143012,0.0220617083,0.0193932133,0.0221275939,0.0231427906,0.0211989696,0.0193932133,0.0253133508,0.0216473466,0.0231910127,0.0249842375,0.0253133508,0.0228014901,0.0250016001,0.0239456979,0.0226350517,0.0228014901,0.0224070824,0.0232718555
RT_BANK_COF,Cost of Funds (COF),1,36,%,-0.0699586149,-0.0698421322,-0.0699558809,-0.0870522028,-0.0734361057,-0.0790229392,-0.0830493003,-0.0870522028,-0.0591327275,-0.0819536485,-0.0729287981,-0.066556196,-0.0591327275,-0.0615022908,-0.0581612131,-0.0583075077,-0.0589514376,-0.0615022908,-0.0606695931,-0.06176418
