time,open,high,low,close,volume
2021-01-04 07:00:00,13.69,13.69,13.69,13.69,102
2021-01-05 07:00:00,13.75,13.75,13.75,13.75,2400
2021-01-06 07:00:00,13.75,13.75,13.75,13.75,3100
2021-01-07 07:00:00,14.01,14.01,14.01,14.01,108
2021-01-08 07:00:00,14.01,14.01,14.01,14.01,2600
2021-01-12 07:00:00,14.08,14.21,14.08,14.21,2908
2021-01-13 07:00:00,14.01,14.01,14.01,14.01,2400
2021-01-14 07:00:00,14.08,14.08,14.08,14.08,2100
2021-01-15 07:00:00,14.66,14.66,14.66,14.66,100
2021-01-18 07:00:00,14.08,14.08,14.08,14.08,2600
2021-01-19 07:00:00,14.08,14.08,14.08,14.08,2100
2021-01-20 07:00:00,13.75,13.75,13.75,13.75,2300
2021-01-21 07:00:00,13.82,13.82,13.82,13.82,2400
2021-01-22 07:00:00,13.95,13.95,13.95,13.95,2300
2021-01-25 07:00:00,14.01,14.01,14.01,14.01,2200
2021-01-26 07:00:00,14.08,14.08,14.08,14.08,1800
2021-01-27 07:00:00,14.01,14.01,14.01,14.01,2300
2021-01-28 07:00:00,13.69,13.69,13.69,13.69,3700
2021-01-29 07:00:00,13.75,13.75,13.75,13.75,3300
2021-02-01 07:00:00,13.82,13.82,13.82,13.82,2100
2021-02-02 07:00:00,13.82,13.82,13.82,13.82,2400
2021-02-03 07:00:00,13.88,13.88,13.82,13.82,2700
2021-02-04 07:00:00,13.88,15.18,13.88,15.18,2400
2021-02-05 07:00:00,14.08,14.08,14.08,14.08,2400
2021-02-08 07:00:00,13.69,13.69,13.69,13.69,2100
2021-02-09 07:00:00,13.82,14.01,13.82,14.01,3200
2021-02-17 07:00:00,13.88,15.77,13.88,15.77,2600
2021-02-18 07:00:00,14.01,14.01,14.01,14.01,1700
2021-02-19 07:00:00,14.08,14.08,14.08,14.08,2700
2021-02-22 07:00:00,14.08,14.34,14.01,14.34,1100
2021-02-23 07:00:00,14.14,14.14,14.14,14.14,2400
2021-02-24 07:00:00,14.27,14.27,14.27,14.27,3202
2021-03-03 07:00:00,13.56,13.56,13.56,13.56,3200
2021-03-04 07:00:00,14.86,14.86,14.86,14.86,1100
2021-03-05 07:00:00,16.29,16.29,16.29,16.29,100
2021-03-08 07:00:00,17.92,17.92,17.92,17.92,100
2021-03-09 07:00:00,19.68,19.68,19.68,19.68,4300
2021-03-11 07:00:00,21.64,21.64,21.64,21.64,100
2021-03-12 07:00:00,23.79,23.79,21.64,21.7,34300
2021-03-15 07:00:00,21.83,23.85,21.83,22.16,80708
2021-03-16 07:00:00,23.2,23.2,22.16,22.16,32100
2021-03-17 07:00:00,22.16,22.16,20.98,21.44,38400
2021-03-18 07:00:00,21.38,21.38,20.53,20.79,140300
2021-03-19 07:00:00,20.4,21.38,20.4,21.38,21400
2021-03-22 07:00:00,21.38,21.38,19.55,19.88,24000
2021-03-23 07:00:00,19.88,20.33,19.03,19.42,52100
2021-03-24 07:00:00,19.42,19.42,18.7,19.36,25700
2021-03-25 07:00:00,19.36,19.49,18.9,19.29,22200
2021-03-26 07:00:00,19.29,19.29,18.38,19.03,20400
2021-03-29 07:00:00,19.03,19.88,19.03,19.1,37600
2021-03-30 07:00:00,19.1,19.16,18.44,18.96,38400
2021-03-31 07:00:00,19.03,19.55,18.77,19.03,47900
2021-04-01 07:00:00,19.03,19.03,18.7,18.9,33300
2021-04-02 07:00:00,18.9,18.96,18.83,18.96,46600
2021-04-05 07:00:00,18.96,19.16,18.9,19.03,44000
2021-04-06 07:00:00,19.03,19.1,18.9,18.96,23287
2021-04-07 07:00:00,18.96,19.1,18.9,18.96,22800
2021-04-08 07:00:00,18.96,18.96,18.44,18.96,90800
2021-04-09 07:00:00,18.96,19.03,18.7,18.9,50702
2021-04-12 07:00:00,18.9,18.9,18.25,18.77,35655
2021-04-13 07:00:00,18.77,19.03,18.64,18.77,49600
2021-04-14 07:00:00,18.77,18.83,18.44,18.64,33500
2021-04-15 07:00:00,18.64,18.77,18.44,18.57,42300
2021-04-16 07:00:00,18.57,18.64,17.92,17.99,50600
2021-04-19 07:00:00,17.92,18.25,17.92,18.25,32400
2021-04-20 07:00:00,18.25,18.38,18.18,18.18,26600
2021-04-22 07:00:00,18.18,18.18,17.53,17.53,53800
2021-04-23 07:00:00,17.53,17.53,17.2,17.27,40500
2021-04-26 07:00:00,17.27,17.53,17.27,17.4,26100
2021-04-27 07:00:00,17.4,17.46,17.2,17.27,28000
2021-04-28 07:00:00,17.27,17.4,17.2,17.27,30600
2021-04-29 07:00:00,17.27,17.34,17.14,17.14,25700
2021-05-04 07:00:00,16.94,16.94,16.49,16.62,29400
2021-05-05 07:00:00,16.62,16.62,16.29,16.62,38100
2021-05-06 07:00:00,16.55,16.68,16.42,16.42,32811
2021-05-07 07:00:00,16.42,16.49,16.1,16.16,38500
2021-05-10 07:00:00,16.16,16.16,15.71,16.16,51840
2021-05-11 07:00:00,16.16,16.55,16.1,16.49,59310
2021-05-12 07:00:00,16.49,16.55,16.36,16.49,33601
2021-05-13 07:00:00,16.49,16.68,16.42,16.55,50203
2021-05-14 07:00:00,16.55,16.68,16.49,16.62,54139
2021-05-17 07:00:00,16.62,16.75,16.49,16.62,52308
2021-05-18 07:00:00,16.62,16.68,16.36,16.42,29500
2021-05-19 07:00:00,16.42,16.42,16.23,16.29,26900
2021-05-20 07:00:00,16.29,16.29,16.1,16.16,37309
2021-05-21 07:00:00,16.23,16.88,16.16,16.62,255501
2021-05-24 07:00:00,16.62,16.81,16.62,16.75,142200
2021-05-25 07:00:00,16.75,16.81,16.62,16.62,83800
2021-05-26 07:00:00,16.62,18.25,16.55,18.25,889430
2021-05-27 07:00:00,18.64,19.75,18.25,18.96,454151
2021-05-28 07:00:00,19.03,19.42,18.7,19.36,306800
2021-05-31 07:00:00,19.49,20.72,18.25,20.66,881807
2021-06-01 07:00:00,20.66,20.66,19.68,19.81,515340
2021-06-02 07:00:00,19.81,19.81,18.9,19.62,314070
2021-06-03 07:00:00,19.55,20.53,19.23,20.33,512500
2021-06-04 07:00:00,20.33,20.4,19.49,19.75,399959
2021-06-07 07:00:00,19.75,19.75,18.05,18.44,277750
2021-06-08 07:00:00,18.38,18.44,16.94,16.94,325023
2021-06-09 07:00:00,16.94,17.79,16.68,17.66,287223
2021-06-10 07:00:00,17.66,17.66,17.34,17.34,90700
2021-06-11 07:00:00,17.34,17.73,17.27,17.6,139101
2021-06-14 07:00:00,17.73,18.31,17.6,18.05,303763
2021-06-15 07:00:00,18.12,18.18,17.86,17.92,126046
2021-06-16 07:00:00,17.92,17.92,17.27,17.34,147711
2021-06-17 07:00:00,17.27,17.27,17.01,17.27,161914
2021-06-18 07:00:00,17.27,17.53,17.14,17.4,193410
2021-06-21 07:00:00,17.4,17.4,17.07,17.07,118629
2021-06-22 07:00:00,17.07,17.2,16.94,17.07,100700
2021-06-23 07:00:00,17.07,17.2,16.94,17.07,140100
2021-06-24 07:00:00,17.07,17.14,16.88,16.94,109900
2021-06-25 07:00:00,16.94,17.01,16.75,16.88,77910
2021-06-28 07:00:00,16.88,17.34,16.81,17.34,174247
2021-06-29 07:00:00,17.34,17.6,17.27,17.53,170860
2021-06-30 07:00:00,17.53,17.53,17.14,17.14,79800
2021-07-01 07:00:00,17.53,17.53,16.94,17.2,108600
2021-07-02 07:00:00,17.2,17.4,17.01,17.14,129822
2021-07-05 07:00:00,17.14,17.2,16.88,16.94,157579
2021-07-06 07:00:00,16.94,17.27,16.94,17.14,301473
2021-07-07 07:00:00,17.14,17.14,16.62,16.75,101801
2021-07-08 07:00:00,16.75,16.81,16.42,16.62,81900
2021-07-09 07:00:00,16.62,16.68,16.1,16.1,101610
2021-07-12 07:00:00,16.1,16.1,14.53,14.99,178100
2021-07-13 07:00:00,14.99,15.05,14.79,14.92,48870
2021-07-14 07:00:00,14.92,15.05,14.66,14.86,51200
2021-07-15 07:00:00,14.79,15.32,14.73,15.18,119100
2021-07-16 07:00:00,15.18,15.38,14.99,15.18,89337
2021-07-19 07:00:00,15.12,15.12,14.01,14.08,71392
2021-07-20 07:00:00,13.62,14.34,13.62,14.34,145200
2021-07-21 07:00:00,14.34,14.66,14.21,14.21,90100
2021-07-22 07:00:00,14.21,14.34,14.08,14.34,78109
