id,item,level,order,unit,2022-Q2,2022-Q3,2022-Q4,2023,2023-Q1,2023-Q2,2023-Q3,2023-Q4,2024,2024-Q1,2024-Q2,2024-Q3,2024-Q4,2025,2025-Q1,2025-Q2,2025-Q3,2025-Q4,2026-Q1,2026-Q2
IS_PROFIT_BEFORE_TAX,IS_PROFIT_BEFORE_TAX,1,8,VNĐ,6489854000000.0,6673383000000.0,5245911000000.0,27588904000000.0,6919579000000.0,6950633000000.0,5892788000000.0,7886764000000.0,32076221000000.0,7389914000000.0,8158532000000.0,6498279000000.0,9938144000000.0,37787518000000.0,7413125000000.0,8625500000000.0,7593776000000.0,14155117000000.0,8571616000000.0,10332973000000.0
IS_NET_PROFIT_AFTER_TAX,IS_NET_PROFIT_AFTER_TAX,1,9,VNĐ,5199635000000.0,5354232000000.0,4156992000000.0,21977141000000.0,5559041000000.0,5549837000000.0,4727935000000.0,6190625000000.0,25677118000000.0,5915579000000.0,6528169000000.0,5213866000000.0,7946423000000.0,30430130000000.0,5955262000000.0,6898187000000.0,6086910000000.0,11489771000000.0,6878794000000.0,8294916000000.0
IS_MINORITY_INTEREST,IS_MINORITY_INTEREST,1,10,VNĐ,41776000000.0,76276000000.0,78055000000.0,472223000000.0,90561000000.0,123703000000.0,145055000000.0,116340000000.0,465069000000.0,102931000000.0,162215000000.0,62548000000.0,136306000000.0,525866000000.0,114889000000.0,143186000000.0,133946000000.0,133845000000.0,77960000000.0,148660000000.0
BS_CASH_AND_PRECIOUS_METALS,BS_CASH_AND_PRECIOUS_METALS,1,11,VNĐ,11894083000000.0,12176802000000.0,13745227000000.0,11029204000000.0,12400755000000.0,11488667000000.0,10731001000000.0,11029204000000.0,10772890000000.0,10421506000000.0,10282845000000.0,11014213000000.0,10772890000000.0,13075066000000.0,10980778000000.0,11226888000000.0,10523745000000.0,13075066000000.0,12065997000000.0,12509838000000.0
BS_FIXED_ASSETS,BS_FIXED_ASSETS,1,18,VNĐ,10259927000000.0,10131837000000.0,10532205000000.0,11096141000000.0,10375801000000.0,10612120000000.0,10485941000000.0,11096285000000.0,12164849000000.0,10891070000000.0,11585508000000.0,11555180000000.0,12119817000000.0,13123069000000.0,11896448000000.0,11797774000000.0,12010249000000.0,13123069000000.0,12961150000000.0,12790868000000.0
BS_TOTAL_ASSETS,BS_TOTAL_ASSETS,1,19,VNĐ,1979292691000000.0,2048952718000000.0,2120527692000000.0,2300868728000000.0,2106864549000000.0,2124767632000000.0,2132854577000000.0,2300814314000000.0,2760906964000000.0,2328730752000000.0,2521071363000000.0,2575981275000000.0,2760791854000000.0,3330825720000000.0,2856110951000000.0,2991644165000000.0,3071970196000000.0,3330825720000000.0,3388221517000000.0,3440840854000000.0
BS_TOTAL_LIABILITIES,BS_TOTAL_LIABILITIES,1,23,VNĐ,1885375152000000.0,1948027658000000.0,2016322127000000.0,2178001839000000.0,1997016087000000.0,2010615988000000.0,2013766739000000.0,2177897270000000.0,2615922770000000.0,2199712917000000.0,2386354090000000.0,2437541619000000.0,2615880741000000.0,3157272818000000.0,2700204641000000.0,2828906855000000.0,2903983495000000.0,3157272818000000.0,3197598357000000.0,3242057568000000.0
BS_CHARTER_CAPITAL,BS_CHARTER_CAPITAL,1,24,VNĐ,50585239000000.0,50585239000000.0,50585239000000.0,57004359000000.0,50585239000000.0,50585239000000.0,50585239000000.0,57004359000000.0,68975153000000.0,57004359000000.0,57004359000000.0,57004359000000.0,68975153000000.0,70213619000000.0,70213619000000.0,70213619000000.0,70213619000000.0,70213619000000.0,72800652000000.0,72800652000000.0
CF_NET_CASH_FLOWS_FROM_OPERATING_ACTIVITIES,CF_NET_CASH_FLOWS_FROM_OPERATING_ACTIVITIES,1,26,VNĐ,42221051000000.0,32846033000000.0,42948135000000.0,-71014987000000.0,-84390513000000.0,-5194200000000.0,-10520343000000.0,28791710000000.0,98846772000000.0,4466366000000.0,49593439000000.0,-15813865000000.0,60600832000000.0,192940485000000.0,35945372000000.0,54524430000000.0,21370660000000.0,81100023000000.0,1179080000000.0,-24471221000000.0
CF_NET_CASH_FLOWS_FROM_INVESTING_ACTIVITIES,CF_NET_CASH_FLOWS_FROM_INVESTING_ACTIVITIES,1,27,VNĐ,-168352000000.0,-152398000000.0,-325126000000.0,-1813698000000.0,-163230000000.0,-1093132000000.0,162695000000.0,-422372000000.0,-1128440000000.0,-305979000000.0,-261720000000.0,-323109000000.0,-237632000000.0,-1638693000000.0,-506151000000.0,-361366000000.0,-418818000000.0,-352358000000.0,-249766000000.0,-747536000000.0
RT_VALUE_PE,P/E Ratio,1,29,lần,12.6319656386,13.0323868865,12.3827057626,11.3690125267,11.7583409885,10.4728745844,13.3351133448,14.1550542785,12.2042929397,12.1319400734,12.3315997054,11.4937934755,10.0372530992,9.4862207499,10.6088555207,10.7526579959,14.4138520075,9.4584960283,9.1629615275,8.4356731507
RT_VALUE_PB,P/B Ratio,1,30,lần,1.8050277169,2.1966793014,2.2605431811,1.8155219138,2.2493750379,1.9490186252,2.2952016439,2.5818607243,1.9209547958,2.1429254481,2.1716940232,2.0172729177,1.7737789849,1.4984069525,1.8025648928,1.7669235892,2.3541310128,1.64775333,1.5840007,1.4444492583
RT_PRT_ROE,ROE %,1,33,%,0.1459508447,0.1749070102,0.1906214078,0.193643658,0.196535542,0.1897692571,0.175847658,0.1894828352,0.1912333112,0.1805202316,0.1806127058,0.178286575,0.187767754,0.1910617657,0.1753929381,0.1698142672,0.1669467977,0.1878030961,0.1776642496,0.1765163382
RT_PRT_ROA,ROA %,1,34,%,0.0071442705,0.0084969443,0.0093544949,0.0099409319,0.0097342838,0.0096934566,0.0092699331,0.009727331,0.0101168526,0.0098550849,0.0098393228,0.009624827,0.0099335136,0.0099906321,0.0093962541,0.0091400579,0.0090264685,0.0098181685,0.0096583093,0.0097510053
RT_BANK_NIM,Net Interest Margin (NIM),1,35,%,0.0280972013,0.0277117784,0.0293024091,0.0257860983,0.0280008799,0.0270421428,0.0266766595,0.0257860983,0.0233444091,0.0255118416,0.0250859249,0.0240848406,0.0233444091,0.021291287,0.0223350345,0.0214276906,0.0209219722,0.021291287,0.0208897797,0.0210641779
RT_BANK_COF,Cost of Funds (COF),1,36,%,-0.033734411,-0.0336619565,-0.0362542449,-0.0474524649,-0.0391972372,-0.0443464626,-0.0480427831,-0.0474524649,-0.0344160547,-0.0456216318,-0.0403685343,-0.0366429032,-0.0344160547,-0.0325250408,-0.0329532912,-0.032906442,-0.0325960836,-0.0325250408,-0.0330248362,-0.0349765618
RT_BANK_CIR,Cost to Income Ratio (CIR),1,37,%,-0.2865513399,-0.3105864766,-0.3241834104,-0.3435085829,-0.2796423349,-0.3693331713,-0.3379271522,-0.3435085829,-0.345010094,-0.3140488331,-0.3317002444,-0.3654516812,-0.345010094,-0.3335866718,-0.330019147,-0.3334477332,-0.3486082162,-0.3335866718,-0.3202296483,-0.3166168116
RT_BANK_LDR,Loan to Deposit Ratio (LDR),1,38,%,1.0545700942,1.0570488526,1.0329964882,1.0428081875,1.066620357,1.0540237679,1.04414696,1.0428081875,1.052692378,1.0340972306,1.0419997746,1.0423436089,1.052692378,1.0674601938,1.0659522405,1.0506519777,1.0718374821,1.0674601938,1.13482235,1.1062653407
RT_BANK_NPL,Non-Performing Loans Ratio (NPL),1,39,%,0.0102934545,0.01346255,0.011576784,0.0125827507,0.0154835134,0.0159448771,0.0159628255,0.0125827507,0.0141217992,0.0150506756,0.0152364284,0.0170939026,0.0141217992,0.0147397729,0.0189380997,0.0197902879,0.0187484129,0.0147397729,0.0175561593,0.0182742946
RT_BANK_NPL_COVERAGE,NPL Coverage Ratio,1,40,%,-2.6076546524,-2.1376880489,-2.1691609308,-1.8092460477,-1.7128752376,-1.5152601511,-1.5840343448,-1.8092460477,-1.3100742975,-1.5276684747,-1.3221567587,-1.1573184136,-1.3100742975,-0.9991060937,-0.9684793025,-0.8909459093,-0.94530816,-0.9991060937,-0.8688572397,-0.7588728294
RT_BANK_CAR,Capital Adequacy Ratio (CAR),1,41,%,0.0888,0.0,0.0,0.086,0.0,0.0934,0.0,0.0,0.0903,0.0,0.0948,0.0,0.0,0.0918,0.0,0.0,0.0,0.0,0.0,0.0
