id,item,level,order,unit,2022-Q2,2022-Q3,2022-Q4,2023,2023-Q1,2023-Q2,2023-Q3,2023-Q4,2024,2024-Q1,2024-Q2,2024-Q3,2024-Q4,2025,2025-Q1,2025-Q2,2025-Q3,2025-Q4,2026-Q1,2026-Q2
IS_PROFIT_BEFORE_TAX,IS_PROFIT_BEFORE_TAX,1,8,VNĐ,2776168000000.0,2712421000000.0,2251952000000.0,13016732000000.0,2742699000000.0,2741637000000.0,3147266000000.0,4385130000000.0,16729995000000.0,4027575000000.0,4137005000000.0,4490407000000.0,4075008000000.0,21346491000000.0,5355235000000.0,4712786000000.0,4734500000000.0,6543970000000.0,6107334000000.0,7094684000000.0
IS_NET_PROFIT_AFTER_TAX,IS_NET_PROFIT_AFTER_TAX,1,9,VNĐ,2220093000000.0,2169487000000.0,1799451000000.0,10336013000000.0,2193712000000.0,2179528000000.0,2515158000000.0,3447615000000.0,13247648000000.0,3213172000000.0,3251852000000.0,3545636000000.0,3236988000000.0,17073622000000.0,4357672000000.0,3676059000000.0,3798817000000.0,5241074000000.0,4902140000000.0,5797908000000.0
IS_MINORITY_INTEREST,IS_MINORITY_INTEREST,1,10,VNĐ,140966000000.0,153502000000.0,63167000000.0,265115000000.0,105702000000.0,20975000000.0,34718000000.0,103720000000.0,484695000000.0,103400000000.0,136961000000.0,121760000000.0,122574000000.0,549234000000.0,122918000000.0,161199000000.0,152179000000.0,112938000000.0,135498000000.0,239178000000.0
BS_CASH_AND_PRECIOUS_METALS,BS_CASH_AND_PRECIOUS_METALS,1,11,VNĐ,2709876000000.0,2596855000000.0,2937994000000.0,2810044000000.0,2691430000000.0,2902517000000.0,2765559000000.0,2810044000000.0,3105355000000.0,2891213000000.0,3102598000000.0,3127639000000.0,3105355000000.0,4126643000000.0,3597997000000.0,3944656000000.0,3679667000000.0,4126643000000.0,4870562000000.0,3399488000000.0
BS_FIXED_ASSETS,BS_FIXED_ASSETS,1,18,VNĐ,1294275000000.0,1303783000000.0,1315057000000.0,1422759000000.0,1292178000000.0,1307970000000.0,1326266000000.0,1422759000000.0,1765927000000.0,1493213000000.0,1542886000000.0,1669306000000.0,1765927000000.0,1860436000000.0,1748509000000.0,1756858000000.0,1756018000000.0,1860436000000.0,1856769000000.0,1853104000000.0
BS_TOTAL_ASSETS,BS_TOTAL_ASSETS,1,19,VNĐ,384266740000000.0,399152573000000.0,416273023000000.0,602314859000000.0,458802678000000.0,483935823000000.0,508263253000000.0,602314859000000.0,697366458000000.0,602551570000000.0,624443499000000.0,629569112000000.0,697366458000000.0,931103945000000.0,711310758000000.0,784096287000000.0,781937368000000.0,931103945000000.0,984216210000000.0,1045435451000000.0
BS_TOTAL_LIABILITIES,BS_TOTAL_LIABILITIES,1,23,VNĐ,348899749000000.0,361989908000000.0,377278137000000.0,555914537000000.0,417974887000000.0,443459075000000.0,465237672000000.0,555914537000000.0,640709197000000.0,552851320000000.0,571617789000000.0,575985137000000.0,640709197000000.0,852818423000000.0,650278221000000.0,719469924000000.0,713530315000000.0,852818423000000.0,901030202000000.0,955209106000000.0
BS_CHARTER_CAPITAL,BS_CHARTER_CAPITAL,1,24,VNĐ,20272906000000.0,20272906000000.0,25303429000000.0,29076321000000.0,25303429000000.0,25303429000000.0,29076321000000.0,29076321000000.0,35101423000000.0,29076321000000.0,29076321000000.0,29076321000000.0,35101423000000.0,50052763000000.0,35101423000000.0,35101423000000.0,35101423000000.0,50052763000000.0,50052763000000.0,50052763000000.0
CF_NET_CASH_FLOWS_FROM_OPERATING_ACTIVITIES,CF_NET_CASH_FLOWS_FROM_OPERATING_ACTIVITIES,1,26,VNĐ,-7820921000000.0,6466438000000.0,-5697391000000.0,80657045000000.0,8559063000000.0,37438638000000.0,-17842240000000.0,52501586000000.0,8742393000000.0,-27640637000000.0,14403100000000.0,10584942000000.0,11394988000000.0,75411390000000.0,2364771000000.0,-1678525000000.0,26029197000000.0,48695947000000.0,-268851000000.0,-20063050000000.0
CF_NET_CASH_FLOWS_FROM_INVESTING_ACTIVITIES,CF_NET_CASH_FLOWS_FROM_INVESTING_ACTIVITIES,1,27,VNĐ,-3476000000.0,-52716000000.0,-52268000000.0,-263843000000.0,-19523000000.0,-53971000000.0,-52426000000.0,-137925000000.0,-1180084000000.0,-112067000000.0,-737702000000.0,-178593000000.0,-151722000000.0,-122012000000.0,-28813000000.0,139892000000.0,-61062000000.0,-172029000000.0,-64260000000.0,-7490058000000.0
RT_VALUE_PE,P/E Ratio,1,29,lần,6.0677622347,5.55719648,6.3288903526,7.3695825711,5.8447689373,6.3283783107,7.1431238089,6.9824984116,8.1810885052,6.3097531791,6.4929769161,5.6734083702,5.6034359017,8.1452517302,6.1230727704,7.977782242,9.0218325072,7.526968614,7.5599058612,6.8930005158
