time,open,high,low,close,volume
2021-01-04 07:00:00,7.88,7.9,7.8,7.86,6829000
2021-01-05 07:00:00,7.86,8.12,7.86,8.08,7231800
2021-01-06 07:00:00,8.09,8.52,8.09,8.37,11331100
2021-01-07 07:00:00,8.48,8.79,8.47,8.74,8328800
2021-01-08 07:00:00,8.88,8.97,8.74,8.84,6924700
2021-01-11 07:00:00,8.88,8.96,8.65,8.76,6768300
2021-01-12 07:00:00,8.71,8.78,8.58,8.73,5101900
2021-01-13 07:00:00,8.73,8.81,8.71,8.76,6388800
2021-01-14 07:00:00,8.81,8.81,8.65,8.74,3675000
2021-01-15 07:00:00,8.81,9.14,8.79,9.1,7103500
2021-01-18 07:00:00,9.1,9.1,8.81,8.89,5150200
2021-01-19 07:00:00,8.81,8.81,8.27,8.27,5782200
2021-01-20 07:00:00,8.27,8.44,7.83,8.32,6660300
2021-01-21 07:00:00,8.39,8.58,8.16,8.42,4714900
2021-01-22 07:00:00,8.42,8.63,8.39,8.52,2937200
2021-01-25 07:00:00,8.52,8.52,8.32,8.37,2373100
2021-01-26 07:00:00,8.29,8.29,7.83,8.0,3770100
2021-01-27 07:00:00,7.85,8.08,7.5,7.6,4373100
2021-01-28 07:00:00,7.08,7.28,7.08,7.08,4508900
2021-01-29 07:00:00,6.59,7.57,6.59,7.28,5395400
2021-02-01 07:00:00,7.31,7.55,7.11,7.24,3380300
2021-02-02 07:00:00,7.24,7.67,7.16,7.57,3057100
2021-02-03 07:00:00,7.64,7.86,7.57,7.83,4470000
2021-02-04 07:00:00,7.83,7.88,7.62,7.68,3323600
2021-02-05 07:00:00,7.7,7.86,7.68,7.86,3084000
2021-02-08 07:00:00,7.85,7.86,7.46,7.65,3918400
2021-02-09 07:00:00,7.7,7.86,7.6,7.86,3156000
2021-02-17 07:00:00,7.93,8.29,7.86,8.29,4203900
2021-02-18 07:00:00,8.29,8.42,8.16,8.32,4632300
2021-02-19 07:00:00,8.19,8.4,8.12,8.34,4034000
2021-02-22 07:00:00,8.34,8.55,8.34,8.42,6535800
2021-02-23 07:00:00,8.35,8.57,8.32,8.47,4611000
2021-02-24 07:00:00,8.48,8.53,8.22,8.3,4438700
2021-02-25 07:00:00,8.37,8.39,8.09,8.32,4931000
2021-02-26 07:00:00,8.16,8.29,8.14,8.21,4328500
2021-03-01 07:00:00,8.26,8.42,8.26,8.42,3271800
2021-03-02 07:00:00,8.52,8.81,8.45,8.71,8274900
2021-03-03 07:00:00,8.73,8.91,8.65,8.79,5701400
2021-03-04 07:00:00,8.78,8.81,8.42,8.55,4433800
2021-03-05 07:00:00,8.55,8.58,8.35,8.44,5045400
2021-03-08 07:00:00,8.55,8.58,8.44,8.47,2950800
2021-03-09 07:00:00,8.44,8.52,8.24,8.47,2548600
2021-03-10 07:00:00,8.47,8.55,8.35,8.52,2806700
2021-03-11 07:00:00,8.65,8.68,8.52,8.62,3621700
2021-03-12 07:00:00,8.65,8.76,8.63,8.7,4051500
2021-03-15 07:00:00,8.7,8.74,8.66,8.7,2840700
2021-03-16 07:00:00,8.74,8.78,8.65,8.74,4549400
2021-03-17 07:00:00,8.78,9.01,8.78,8.97,7798100
2021-03-18 07:00:00,9.07,9.07,8.81,8.97,7237000
2021-03-19 07:00:00,8.91,8.94,8.79,8.86,4935200
2021-03-22 07:00:00,8.86,8.86,8.71,8.79,3963200
2021-03-23 07:00:00,8.79,8.79,8.58,8.65,3947000
2021-03-24 07:00:00,8.52,8.58,8.16,8.32,5338200
2021-03-25 07:00:00,8.32,8.45,8.29,8.35,4130500
2021-03-26 07:00:00,8.32,8.47,8.09,8.4,4007600
2021-03-29 07:00:00,8.48,8.55,8.39,8.48,3149300
2021-03-30 07:00:00,8.52,8.6,8.44,8.55,4092000
2021-03-31 07:00:00,8.68,8.74,8.58,8.62,3883700
2021-04-01 07:00:00,8.68,8.78,8.62,8.74,3531500
2021-04-02 07:00:00,8.83,8.94,8.81,8.89,6221100
2021-04-05 07:00:00,9.24,9.24,8.99,9.02,5898700
2021-04-06 07:00:00,9.02,9.07,8.88,9.01,5343500
2021-04-07 07:00:00,9.02,9.07,8.94,9.06,4333600
2021-04-08 07:00:00,9.14,9.2,9.1,9.15,5669400
2021-04-09 07:00:00,9.19,9.19,9.1,9.14,3890400
2021-04-12 07:00:00,9.17,9.17,8.81,9.1,9500100
2021-04-13 07:00:00,9.24,9.24,8.97,9.02,5844900
2021-04-14 07:00:00,9.02,9.1,8.93,9.1,2954300
2021-04-15 07:00:00,9.1,9.1,8.93,8.93,4656800
2021-04-16 07:00:00,8.88,8.94,8.65,8.7,4639500
2021-04-19 07:00:00,8.91,8.91,8.7,8.91,3695000
2021-04-20 07:00:00,8.99,9.01,8.83,8.88,3470400
2021-04-22 07:00:00,8.88,8.88,8.58,8.58,4280300
2021-04-23 07:00:00,8.58,8.79,8.48,8.78,4256300
2021-04-26 07:00:00,8.78,8.84,8.52,8.65,3955800
2021-04-27 07:00:00,8.65,8.79,8.48,8.74,3175700
2021-04-28 07:00:00,8.74,8.79,8.71,8.76,2933300
2021-04-29 07:00:00,8.76,8.96,8.76,8.89,4836700
2021-05-04 07:00:00,8.7,8.91,8.68,8.88,4476200
2021-05-05 07:00:00,8.91,9.5,8.91,9.48,17394400
2021-05-06 07:00:00,9.56,9.61,9.33,9.4,5442700
2021-05-07 07:00:00,9.27,9.95,9.27,9.79,15743900
2021-05-10 07:00:00,9.72,10.2,9.72,10.05,9105400
2021-05-11 07:00:00,10.05,10.12,9.79,9.79,5377400
2021-05-12 07:00:00,9.72,9.89,9.63,9.86,9313400
2021-05-13 07:00:00,9.86,10.13,9.82,9.89,9057200
2021-05-14 07:00:00,10.05,10.28,9.95,10.18,7556800
2021-05-17 07:00:00,10.26,10.41,10.05,10.16,8422100
2021-05-18 07:00:00,10.16,10.18,9.95,9.98,7207100
2021-05-19 07:00:00,9.98,10.3,9.97,10.26,7076700
2021-05-20 07:00:00,10.26,10.54,10.12,10.44,9768400
2021-05-21 07:00:00,10.44,10.64,10.34,10.41,5745200
2021-05-24 07:00:00,10.41,10.48,10.31,10.36,5478200
2021-05-25 07:00:00,10.28,10.6,10.28,10.6,5954400
2021-05-26 07:00:00,10.7,10.78,10.57,10.7,4418200
2021-05-27 07:00:00,10.77,10.9,10.41,10.44,6586700
2021-05-28 07:00:00,10.51,10.77,10.41,10.72,6061000
2021-05-31 07:00:00,10.77,11.06,10.57,11.03,10124400
2021-06-01 07:00:00,11.1,11.42,11.1,11.19,5188000
2021-06-02 07:00:00,11.1,11.22,10.93,11.1,4972900
