time,open,high,low,close,volume
2021-01-04 07:00:00,8.16,8.33,8.03,8.2,67570
2021-01-05 07:00:00,8.16,8.25,8.03,8.12,168742
2021-01-06 07:00:00,8.12,8.12,8.03,8.08,255366
2021-01-07 07:00:00,8.16,8.97,7.95,8.97,124076
2021-01-08 07:00:00,8.55,8.97,8.33,8.76,282296
2021-01-11 07:00:00,8.76,8.93,8.63,8.76,100351
2021-01-12 07:00:00,8.76,8.76,8.46,8.55,123874
2021-01-13 07:00:00,8.55,8.59,8.33,8.33,114358
2021-01-14 07:00:00,8.46,8.46,8.12,8.12,123700
2021-01-15 07:00:00,8.16,8.55,8.16,8.46,114633
2021-01-18 07:00:00,8.42,8.67,8.38,8.42,191824
2021-01-19 07:00:00,8.55,8.63,7.9,8.55,73900
2021-01-20 07:00:00,7.69,8.12,7.69,8.12,47560
2021-01-21 07:00:00,8.03,8.12,8.03,8.08,111400
2021-01-22 07:00:00,8.08,8.08,7.52,7.52,147259
2021-01-25 07:00:00,7.52,7.73,7.26,7.52,72995
2021-01-26 07:00:00,7.44,7.48,6.96,7.35,114130
2021-01-27 07:00:00,7.26,7.35,6.79,6.84,58505
2021-01-28 07:00:00,5.98,7.78,5.98,7.78,490009
2021-01-29 07:00:00,7.26,7.73,7.01,7.35,100199
2021-02-01 07:00:00,7.48,7.69,6.84,7.69,135000
2021-02-02 07:00:00,7.35,7.48,7.22,7.26,14710
2021-02-03 07:00:00,7.05,7.56,7.05,7.56,46700
2021-02-04 07:00:00,7.26,7.44,7.26,7.39,11400
2021-02-05 07:00:00,7.35,7.48,7.35,7.48,61800
2021-02-08 07:00:00,7.39,7.39,6.96,7.05,31901
2021-02-09 07:00:00,6.84,7.31,6.84,7.31,7819
2021-02-17 07:00:00,7.31,7.44,7.18,7.35,19910
2021-02-18 07:00:00,7.48,7.48,7.35,7.35,28381
2021-02-19 07:00:00,7.39,7.52,7.39,7.52,44182
2021-02-22 07:00:00,7.56,7.56,7.48,7.48,13985
2021-02-23 07:00:00,7.26,7.48,7.26,7.48,17633
2021-02-24 07:00:00,7.39,7.39,7.26,7.31,14012
2021-02-25 07:00:00,7.31,7.35,7.26,7.35,22981
2021-02-26 07:00:00,7.31,7.31,7.26,7.31,15680
2021-03-01 07:00:00,7.31,7.39,7.31,7.39,46273
2021-03-02 07:00:00,7.35,7.35,7.31,7.31,22870
2021-03-03 07:00:00,7.39,7.44,7.31,7.31,43205
2021-03-04 07:00:00,7.31,7.31,7.22,7.26,45480
2021-03-05 07:00:00,7.26,7.35,7.22,7.26,44301
2021-03-08 07:00:00,7.31,7.39,7.26,7.35,49573
2021-03-09 07:00:00,7.35,7.95,7.35,7.69,344856
2021-03-10 07:00:00,7.69,7.69,7.61,7.61,40930
2021-03-11 07:00:00,7.61,7.61,7.52,7.61,19200
2021-03-12 07:00:00,7.61,7.86,7.39,7.69,286585
2021-03-15 07:00:00,7.82,8.16,7.82,8.12,249577
2021-03-16 07:00:00,8.12,8.16,7.95,8.03,93696
2021-03-17 07:00:00,8.03,8.03,7.86,7.99,91220
2021-03-18 07:00:00,7.9,7.9,7.78,7.86,135258
2021-03-19 07:00:00,7.86,7.99,7.82,7.82,165317
2021-03-22 07:00:00,7.82,7.9,7.82,7.9,158216
2021-03-23 07:00:00,7.86,7.9,7.73,7.86,81614
2021-03-24 07:00:00,7.78,7.82,7.65,7.73,80429
2021-03-25 07:00:00,7.69,7.82,7.69,7.73,80245
2021-03-26 07:00:00,7.69,7.78,7.48,7.56,77221
2021-03-29 07:00:00,7.61,7.69,7.56,7.69,54100
2021-03-30 07:00:00,7.78,8.72,7.65,8.63,614473
2021-03-31 07:00:00,8.63,9.1,8.63,8.63,270070
2021-04-01 07:00:00,8.63,9.1,8.46,8.67,177116
2021-04-02 07:00:00,8.67,8.67,8.38,8.5,333956
2021-04-05 07:00:00,8.5,8.97,8.5,8.97,443964
2021-04-06 07:00:00,8.97,8.97,8.72,8.76,144216
2021-04-07 07:00:00,8.76,8.8,8.55,8.63,151520
2021-04-08 07:00:00,8.67,9.61,8.67,9.57,732056
2021-04-09 07:00:00,9.61,10.26,9.44,10.21,365900
2021-04-12 07:00:00,10.26,11.37,10.26,11.37,907034
2021-04-13 07:00:00,11.66,11.79,10.34,10.85,768485
2021-04-14 07:00:00,11.11,11.11,10.08,10.64,308987
2021-04-15 07:00:00,10.34,10.98,10.21,10.51,308980
2021-04-16 07:00:00,10.51,10.68,9.83,10.64,418852
2021-04-19 07:00:00,10.6,10.81,10.47,10.72,232489
2021-04-20 07:00:00,10.72,11.02,10.47,10.68,212315
2021-04-22 07:00:00,10.68,10.9,10.13,10.13,164630
2021-04-23 07:00:00,10.04,11.15,9.83,10.68,431160
2021-04-26 07:00:00,10.72,10.72,10.26,10.34,208073
2021-04-27 07:00:00,10.13,10.34,10.13,10.26,95440
2021-04-28 07:00:00,10.04,10.68,10.04,10.64,134026
2021-04-29 07:00:00,10.55,10.55,10.17,10.38,219440
2021-05-04 07:00:00,10.21,10.21,9.91,10.17,117931
2021-05-05 07:00:00,10.17,10.6,10.17,10.6,116803
2021-05-06 07:00:00,10.68,11.62,10.55,11.45,720091
2021-05-07 07:00:00,11.54,11.58,11.11,11.54,179212
2021-05-10 07:00:00,11.45,12.05,11.41,11.71,274797
2021-05-11 07:00:00,11.45,11.71,11.37,11.66,233223
2021-05-12 07:00:00,11.54,11.84,11.49,11.84,175237
2021-05-13 07:00:00,11.84,12.14,11.75,12.05,232116
2021-05-14 07:00:00,12.01,12.18,11.92,11.96,146296
2021-05-17 07:00:00,12.09,12.09,11.11,11.28,772647
2021-05-18 07:00:00,11.41,11.41,10.94,10.94,490969
2021-05-19 07:00:00,11.2,11.2,10.72,10.72,499191
2021-05-20 07:00:00,10.72,11.75,10.68,10.81,399633
2021-05-21 07:00:00,11.11,11.58,11.11,11.28,138643
2021-05-24 07:00:00,11.45,11.45,10.85,11.02,409042
2021-05-25 07:00:00,11.02,11.2,10.81,11.15,111941
2021-05-26 07:00:00,11.2,11.54,11.2,11.24,328540
2021-05-27 07:00:00,11.45,11.66,11.24,11.37,465853
2021-05-28 07:00:00,11.54,12.6,11.45,12.05,764145
2021-05-31 07:00:00,12.39,13.08,12.39,12.78,834729
2021-06-01 07:00:00,12.78,12.86,10.9,10.9,441940
2021-06-02 07:00:00,11.54,12.31,10.98,11.58,583706
2021-06-03 07:00:00,11.62,12.6,11.58,12.09,530892
2021-06-04 07:00:00,12.22,12.39,11.88,12.09,130863
2021-06-07 07:00:00,12.05,12.09,11.41,11.75,648069
2021-06-08 07:00:00,11.71,11.75,10.9,10.9,273550
2021-06-09 07:00:00,11.11,11.84,10.9,11.49,144852
2021-06-10 07:00:00,11.54,11.58,11.28,11.32,105253
2021-06-11 07:00:00,11.54,11.75,11.11,11.75,162015
2021-06-14 07:00:00,11.75,11.75,11.32,11.45,54800
2021-06-15 07:00:00,11.45,12.22,11.41,11.41,413880
2021-06-16 07:00:00,11.62,11.75,11.28,11.41,85393
2021-06-17 07:00:00,11.37,11.37,11.11,11.37,97582
2021-06-18 07:00:00,11.28,11.32,11.15,11.28,174600
2021-06-21 07:00:00,11.28,11.37,11.11,11.11,92527
2021-06-22 07:00:00,11.2,11.24,11.11,11.2,62580
2021-06-23 07:00:00,11.2,11.24,11.11,11.2,142034
2021-06-24 07:00:00,11.2,11.24,11.11,11.15,89530
2021-06-25 07:00:00,11.15,11.15,9.53,11.07,113751
2021-06-28 07:00:00,11.02,11.54,11.02,11.2,74365
2021-06-29 07:00:00,11.2,11.32,11.2,11.28,180079
2021-06-30 07:00:00,11.28,11.28,11.15,11.15,51307
2021-07-01 07:00:00,11.15,11.28,11.07,11.2,64241
2021-07-02 07:00:00,11.15,11.24,11.11,11.15,72606
2021-07-05 07:00:00,11.2,11.2,10.98,11.15,110286
2021-07-06 07:00:00,11.15,11.49,11.15,11.28,275578
2021-07-07 07:00:00,10.9,11.2,10.85,11.15,75936
2021-07-08 07:00:00,11.37,11.37,10.68,10.9,59256
2021-07-09 07:00:00,10.72,10.9,10.26,10.3,138449
2021-07-12 07:00:00,10.3,10.3,9.23,9.57,176070
2021-07-13 07:00:00,9.4,10.9,9.4,9.57,67200
2021-07-14 07:00:00,9.57,9.74,9.4,9.57,36805
2021-07-15 07:00:00,9.53,9.91,9.23,9.91,29698
2021-07-16 07:00:00,9.91,9.91,9.66,9.78,51195
2021-07-19 07:00:00,8.59,9.49,8.46,8.97,59301
2021-07-20 07:00:00,9.19,9.49,8.85,9.14,23201
2021-07-21 07:00:00,9.49,9.49,9.1,9.1,41710
2021-07-22 07:00:00,9.19,9.36,9.06,9.19,49709
2021-07-23 07:00:00,9.19,9.19,9.06,9.1,32100
2021-07-26 07:00:00,8.97,9.1,8.33,8.93,33780
2021-07-27 07:00:00,8.8,9.14,8.8,8.89,42900
2021-07-28 07:00:00,9.1,9.1,8.89,9.02,37410
2021-07-29 07:00:00,9.02,9.19,9.02,9.14,73600
2021-07-30 07:00:00,9.19,9.66,9.19,9.27,92866
2021-08-02 07:00:00,9.1,9.4,9.1,9.32,122277
2021-08-03 07:00:00,9.61,9.61,9.19,9.32,112302
2021-08-04 07:00:00,9.4,9.49,9.32,9.32,100519
2021-08-05 07:00:00,9.4,10.26,9.32,10.26,186716
2021-08-06 07:00:00,10.21,10.47,9.78,9.83,198487
2021-08-09 07:00:00,10.08,10.26,9.78,9.91,114601
2021-08-10 07:00:00,9.96,9.96,9.66,9.83,122401
2021-08-11 07:00:00,9.83,10.26,9.7,9.83,129007
2021-08-12 07:00:00,10.04,10.04,9.74,9.91,48129
2021-08-13 07:00:00,9.74,9.87,9.74,9.83,63674
2021-08-16 07:00:00,9.83,10.04,9.83,10.0,77321
2021-08-17 07:00:00,9.91,10.26,9.91,9.91,61010
2021-08-18 07:00:00,9.91,10.0,9.83,9.83,51310
2021-08-19 07:00:00,10.08,10.21,9.78,9.87,47715
2021-08-20 07:00:00,9.83,9.83,9.4,9.61,73560
2021-08-23 07:00:00,9.61,9.61,9.14,9.19,61813
2021-08-24 07:00:00,9.32,9.32,9.06,9.23,56092
2021-08-25 07:00:00,9.19,9.4,9.19,9.4,43801
2021-08-26 07:00:00,9.27,9.27,9.23,9.23,34600
2021-08-27 07:00:00,9.23,9.32,9.02,9.32,30310
2021-08-30 07:00:00,9.32,9.4,9.27,9.36,71705
2021-08-31 07:00:00,9.36,9.66,9.36,9.36,79061
2021-09-01 07:00:00,9.36,9.36,9.32,9.32,63693
2021-09-06 07:00:00,9.27,9.32,8.97,9.32,99844
2021-09-07 07:00:00,9.27,9.44,9.27,9.4,89391
2021-09-08 07:00:00,9.4,9.4,9.32,9.32,49520
2021-09-09 07:00:00,9.19,9.4,9.19,9.4,48601
2021-09-10 07:00:00,9.4,9.53,9.36,9.4,124601
2021-09-13 07:00:00,9.32,9.53,9.32,9.4,174359
2021-09-14 07:00:00,9.4,9.49,9.32,9.44,130675
2021-09-15 07:00:00,9.4,9.4,9.23,9.32,126323
2021-09-16 07:00:00,9.36,9.36,9.19,9.32,117743
2021-09-17 07:00:00,9.4,9.87,9.27,9.4,456820
2021-09-20 07:00:00,9.57,9.91,9.57,9.78,602110
2021-09-21 07:00:00,9.78,9.78,9.49,9.7,277800
2021-09-22 07:00:00,9.4,9.66,9.4,9.57,140100
2021-09-23 07:00:00,9.74,10.98,9.74,10.94,2242519
2021-09-24 07:00:00,10.94,11.41,10.21,10.38,2714221
2021-09-27 07:00:00,10.68,10.77,10.21,10.26,1022595
2021-09-28 07:00:00,10.08,10.08,9.7,9.74,905242
2021-09-29 07:00:00,9.74,9.83,9.44,9.83,613144
2021-09-30 07:00:00,9.83,9.83,9.36,9.53,1165863
2021-10-01 07:00:00,9.53,9.53,9.23,9.36,878104
2021-10-04 07:00:00,9.4,9.4,9.1,9.23,697520
2021-10-05 07:00:00,9.1,9.23,8.97,9.23,1727254
2021-10-06 07:00:00,9.32,9.83,9.19,9.49,788236
2021-10-07 07:00:00,9.49,9.74,9.4,9.66,259103
2021-10-08 07:00:00,9.66,9.74,9.49,9.61,333447
2021-10-11 07:00:00,9.61,9.7,9.57,9.66,232841
2021-10-12 07:00:00,9.57,9.83,9.57,9.74,258201
2021-10-13 07:00:00,9.83,9.83,9.61,9.7,180620
2021-10-14 07:00:00,9.83,10.08,9.74,9.96,416631
2021-10-15 07:00:00,10.13,10.3,10.08,10.17,314030
2021-10-18 07:00:00,10.26,10.38,10.08,10.17,427767
2021-10-19 07:00:00,10.26,10.26,9.96,10.17,546304
2021-10-20 07:00:00,10.08,10.17,10.0,10.17,289348
2021-10-21 07:00:00,10.0,10.13,9.96,10.08,212801
2021-10-22 07:00:00,10.04,10.13,9.96,10.04,287740
2021-10-25 07:00:00,10.04,10.17,10.04,10.08,190540
2021-10-26 07:00:00,10.08,10.47,10.04,10.3,501513
2021-10-27 07:00:00,10.3,10.38,10.26,10.38,326045
2021-10-28 07:00:00,11.08,11.76,10.84,11.46,724074
2021-10-29 07:00:00,11.61,11.61,11.27,11.46,225518
2021-11-01 07:00:00,11.46,11.61,11.37,11.51,383445
2021-11-02 07:00:00,11.51,11.8,11.37,11.61,403820
2021-11-03 07:00:00,11.61,12.09,11.61,11.9,402377
2021-11-04 07:00:00,11.85,12.09,11.61,11.85,129746
2021-11-05 07:00:00,11.8,12.0,11.61,11.71,119523
2021-11-08 07:00:00,11.76,11.76,11.17,11.46,169701
2021-11-09 07:00:00,11.42,11.56,11.37,11.46,121498
2021-11-10 07:00:00,11.46,11.46,11.32,11.42,182615
2021-11-11 07:00:00,11.32,11.37,11.17,11.32,158405
2021-11-12 07:00:00,11.37,11.46,11.17,11.42,113931
2021-11-15 07:00:00,11.85,11.85,11.37,11.37,185151
2021-11-16 07:00:00,11.37,11.51,11.32,11.32,95079
2021-11-17 07:00:00,11.27,11.42,11.22,11.32,66451
2021-11-18 07:00:00,11.22,11.42,11.17,11.37,274909
2021-11-19 07:00:00,11.22,11.85,11.22,11.66,452410
2021-11-22 07:00:00,11.66,12.87,11.51,12.0,411651
2021-11-23 07:00:00,12.09,12.19,11.76,11.95,71239
2021-11-24 07:00:00,11.71,12.53,11.37,12.43,382791
2021-11-25 07:00:00,12.43,12.62,11.8,12.14,277185
2021-11-26 07:00:00,12.19,12.19,11.76,11.9,139745
2021-11-29 07:00:00,11.37,11.85,11.13,11.71,190806
2021-11-30 07:00:00,11.42,11.61,11.37,11.42,239306
2021-12-01 07:00:00,11.37,11.9,11.37,11.85,112112
2021-12-02 07:00:00,11.95,11.95,11.56,11.61,88801
2021-12-03 07:00:00,11.46,11.71,11.46,11.51,138929
2021-12-06 07:00:00,11.13,11.46,10.88,11.17,229330
2021-12-07 07:00:00,11.13,11.42,11.13,11.37,73620
2021-12-08 07:00:00,11.27,11.61,11.27,11.61,87240
2021-12-09 07:00:00,11.13,11.61,11.13,11.61,105225
2021-12-10 07:00:00,11.56,12.0,11.56,11.66,101041
2021-12-13 07:00:00,11.37,11.66,11.22,11.61,61448
2021-12-14 07:00:00,11.46,11.66,11.46,11.61,99010
2021-12-15 07:00:00,11.51,11.56,11.27,11.51,179937
2021-12-16 07:00:00,11.42,11.51,11.37,11.51,141496
2021-12-17 07:00:00,11.27,11.56,10.93,11.37,135938
2021-12-20 07:00:00,11.37,11.56,11.37,11.46,163032
2021-12-21 07:00:00,11.42,11.66,11.42,11.56,265636
2021-12-22 07:00:00,11.56,12.04,11.17,11.46,180365
2021-12-23 07:00:00,11.46,11.56,10.16,11.42,119207
2021-12-24 07:00:00,11.32,11.46,11.17,11.42,37326
2021-12-27 07:00:00,11.37,11.61,11.37,11.56,129446
2021-12-28 07:00:00,11.56,12.04,11.56,11.85,269208
2021-12-29 07:00:00,11.71,11.95,11.61,11.85,221581
2021-12-30 07:00:00,11.85,11.85,11.46,11.66,576367
2021-12-31 07:00:00,11.71,12.09,11.56,12.09,419152
2022-01-04 07:00:00,12.09,12.38,12.09,12.34,245589
2022-01-05 07:00:00,12.34,12.38,11.61,12.34,266629
2022-01-06 07:00:00,12.29,12.38,12.09,12.38,118364
2022-01-07 07:00:00,12.38,12.38,12.24,12.24,140528
2022-01-10 07:00:00,12.24,12.48,11.71,11.71,219850
2022-01-11 07:00:00,11.85,12.24,11.37,12.04,154948
2022-01-12 07:00:00,11.9,12.38,11.9,12.38,151043
2022-01-13 07:00:00,12.53,13.64,12.38,12.82,410545
2022-01-14 07:00:00,12.82,13.5,12.24,12.82,99732
2022-01-17 07:00:00,12.72,13.21,12.14,12.82,366611
2022-01-18 07:00:00,12.82,12.82,12.34,12.58,244613
2022-01-19 07:00:00,12.82,13.11,12.34,13.11,205336
2022-01-20 07:00:00,13.01,13.5,12.38,13.01,147418
2022-01-21 07:00:00,12.62,13.45,12.48,13.3,112866
2022-01-24 07:00:00,13.35,13.79,13.11,13.11,120444
2022-01-25 07:00:00,13.3,13.45,13.01,13.11,70426
2022-01-26 07:00:00,13.06,13.54,13.06,13.3,203622
2022-01-27 07:00:00,13.16,13.4,13.11,13.11,40357
2022-01-28 07:00:00,13.11,13.35,13.11,13.35,31361
2022-02-07 07:00:00,13.35,13.84,12.67,12.67,82123
2022-02-08 07:00:00,13.01,13.16,12.77,12.96,86386
2022-02-09 07:00:00,12.96,13.11,12.82,13.11,26002
2022-02-10 07:00:00,13.11,13.54,12.96,13.16,82506
2022-02-11 07:00:00,13.16,13.16,12.67,13.11,45129
2022-02-14 07:00:00,13.16,13.16,12.67,12.67,50385
2022-02-15 07:00:00,12.82,13.06,12.82,13.06,27915
2022-02-16 07:00:00,13.01,13.3,12.96,13.01,71642
2022-02-17 07:00:00,12.82,13.11,12.58,13.11,47896
2022-02-18 07:00:00,12.92,13.35,12.87,13.11,38840
2022-02-21 07:00:00,12.72,13.01,12.72,12.87,31436
2022-02-22 07:00:00,12.72,12.87,12.67,12.87,36902
2022-02-23 07:00:00,13.16,13.54,12.82,12.82,144917
2022-02-24 07:00:00,12.92,13.54,12.77,13.06,204438
2022-02-25 07:00:00,13.01,13.4,13.01,13.11,80968
2022-02-28 07:00:00,13.3,13.64,13.01,13.01,156286
2022-03-01 07:00:00,13.06,13.69,13.06,13.06,110462
2022-03-02 07:00:00,13.06,13.35,13.01,13.35,64140
2022-03-03 07:00:00,13.35,13.69,12.87,13.16,239552
2022-03-04 07:00:00,13.45,13.79,13.3,13.3,228757
2022-03-07 07:00:00,13.59,13.93,13.3,13.3,56435
2022-03-08 07:00:00,13.59,13.93,13.35,13.4,103052
2022-03-09 07:00:00,13.84,14.12,13.79,14.12,87032
2022-03-10 07:00:00,13.93,14.17,13.59,13.93,34815
2022-03-11 07:00:00,14.03,14.71,13.88,14.51,148326
2022-03-14 07:00:00,14.51,16.69,13.98,16.69,200859
2022-03-15 07:00:00,16.69,18.77,14.61,18.77,412195
2022-03-16 07:00:00,18.87,20.56,18.87,19.06,128341
2022-03-17 07:00:00,19.35,19.4,18.19,18.58,140781
2022-03-18 07:00:00,17.56,18.38,16.93,17.8,78380
2022-03-21 07:00:00,18.24,18.38,16.93,17.85,39785
2022-03-22 07:00:00,17.41,19.3,17.27,19.3,115758
2022-03-23 07:00:00,18.38,19.3,18.38,18.62,56724
2022-03-24 07:00:00,18.87,19.35,18.43,19.25,69715
2022-03-25 07:00:00,19.2,19.35,18.48,18.96,25028
2022-03-28 07:00:00,18.96,18.96,17.9,17.9,32528
2022-03-29 07:00:00,18.33,18.82,18.09,18.67,6915
2022-03-30 07:00:00,18.82,18.82,18.09,18.24,12603
2022-03-31 07:00:00,18.72,18.72,17.9,18.04,5699
2022-04-01 07:00:00,17.41,17.95,16.93,17.9,26262
2022-04-04 07:00:00,17.41,18.62,17.41,18.38,28533
