id,item,level,order,unit,2022-Q2,2022-Q3,2022-Q4,2023,2023-Q1,2023-Q2,2023-Q3,2023-Q4,2024,2024-Q1,2024-Q2,2024-Q3,2024-Q4,2025,2025-Q1,2025-Q2,2025-Q3,2025-Q4,2026-Q1,2026-Q2
IS_PROFIT_BEFORE_TAX,IS_PROFIT_BEFORE_TAX,1,8,VNĐ,5986513000000.0,6295505000000.0,4537629000000.0,26306089000000.0,6512166000000.0,6222864000000.0,7283787000000.0,6287272000000.0,28829328000000.0,5795311000000.0,7633001000000.0,7307896000000.0,8093120000000.0,34268358000000.0,8386325000000.0,7502991000000.0,7249920000000.0,11129122000000.0,9628386000000.0,10559872000000.0
IS_NET_PROFIT_AFTER_TAX,IS_NET_PROFIT_AFTER_TAX,1,9,VNĐ,4793819000000.0,5034902000000.0,3600022000000.0,21053792000000.0,5205556000000.0,4982440000000.0,5820708000000.0,5045088000000.0,22951264000000.0,4624216000000.0,6101983000000.0,5843443000000.0,6381622000000.0,27382978000000.0,6674879000000.0,6004706000000.0,5800441000000.0,8902952000000.0,7702720000000.0,8445473000000.0
IS_MINORITY_INTEREST,IS_MINORITY_INTEREST,1,10,VNĐ,170617000000.0,155709000000.0,165891000000.0,377004000000.0,181894000000.0,88945000000.0,47443000000.0,58722000000.0,317507000000.0,91518000000.0,75234000000.0,53287000000.0,97468000000.0,604039000000.0,107139000000.0,127101000000.0,229417000000.0,140382000000.0,187207000000.0,216411000000.0
BS_CASH_AND_PRECIOUS_METALS,BS_CASH_AND_PRECIOUS_METALS,1,11,VNĐ,3205723000000.0,3135579000000.0,3744100000000.0,3675394000000.0,2965368000000.0,3168566000000.0,3411516000000.0,3675394000000.0,3349166000000.0,3740794000000.0,4329237000000.0,3782282000000.0,3349166000000.0,4965786000000.0,4223983000000.0,5262525000000.0,4421466000000.0,4965786000000.0,5741287000000.0,5051244000000.0
BS_FIXED_ASSETS,BS_FIXED_ASSETS,1,18,VNĐ,4519204000000.0,4412298000000.0,5073508000000.0,4854186000000.0,5004586000000.0,4928489000000.0,4826801000000.0,4854186000000.0,5430416000000.0,5043795000000.0,4915660000000.0,4875798000000.0,5430416000000.0,5616547000000.0,5381759000000.0,5343331000000.0,5121088000000.0,5616547000000.0,5500662000000.0,5752320000000.0
BS_TOTAL_ASSETS,BS_TOTAL_ASSETS,1,19,VNĐ,658274396000000.0,656804225000000.0,728532373000000.0,944953640000000.0,760761405000000.0,806237587000000.0,815880535000000.0,944953640000000.0,1128801062000000.0,900647141000000.0,988604894000000.0,1028819208000000.0,1128801062000000.0,1615763927000000.0,1156917195000000.0,1289644328000000.0,1328560306000000.0,1615763927000000.0,1611222764000000.0,1733012662000000.0
BS_TOTAL_LIABILITIES,BS_TOTAL_LIABILITIES,1,23,VNĐ,587367590000000.0,580894349000000.0,648919154000000.0,848242481000000.0,675993922000000.0,720168463000000.0,724117540000000.0,848242481000000.0,1011741481000000.0,799305717000000.0,884390946000000.0,918796010000000.0,1011741481000000.0,1473741402000000.0,1033240647000000.0,1161840678000000.0,1195469561000000.0,1473741402000000.0,1461477439000000.0,1576250018000000.0
BS_CHARTER_CAPITAL,BS_CHARTER_CAPITAL,1,24,VNĐ,37783218000000.0,37783218000000.0,45339861000000.0,52140841000000.0,45339861000000.0,45339861000000.0,52140841000000.0,52140841000000.0,53063241000000.0,52140841000000.0,52870841000000.0,52870841000000.0,53063241000000.0,80549999000000.0,61022727000000.0,61022727000000.0,80549999000000.0,80549999000000.0,80549999000000.0,80549999000000.0
CF_NET_CASH_FLOWS_FROM_OPERATING_ACTIVITIES,CF_NET_CASH_FLOWS_FROM_OPERATING_ACTIVITIES,1,26,VNĐ,10547728000000.0,-22193036000000.0,22377386000000.0,41294612000000.0,-21765360000000.0,-1889313000000.0,14594737000000.0,50354548000000.0,-18576384000000.0,-25886800000000.0,12386261000000.0,-20490106000000.0,15414261000000.0,137357399000000.0,-26075011000000.0,27591549000000.0,10405047000000.0,125435814000000.0,-64971848000000.0,11770037000000.0
CF_NET_CASH_FLOWS_FROM_INVESTING_ACTIVITIES,CF_NET_CASH_FLOWS_FROM_INVESTING_ACTIVITIES,1,27,VNĐ,66474000000.0,-311517000000.0,-1056675000000.0,-1605413000000.0,-395501000000.0,-504617000000.0,-243461000000.0,-461834000000.0,-2238209000000.0,-541848000000.0,-258471000000.0,-528868000000.0,-909022000000.0,904900000000.0,-176955000000.0,-224021000000.0,-776707000000.0,2082583000000.0,-589570000000.0,-142312000000.0
