period,id,name,order,level,unit,value
2026-Q2,IS_NET_INTEREST_INCOME,Net Interest Income,1,1,VNĐ,2525326480196.0
2026-Q2,IS_INTEREST_INCOME_AND_SIMILAR_INCOME,  ‣ Interest Income and Similar Income,2,2,VNĐ,6824176776932.0
2026-Q2,IS_INTEREST_AND_SIMILAR_EXPENSES,  ‣ Interest and Similar Expenses,3,2,VNĐ,-4298850296736.0
2026-Q2,IS_NET_FEE_AND_COMMISSION_INCOME,Net Fee and Commission Income,4,1,VNĐ,396138185384.0
2026-Q2,IS_FEE_AND_COMMISSION_INCOME,  ‣ Fee and Commission Income,5,2,VNĐ,492385588454.0
2026-Q2,IS_FEE_AND_COMMISSION_EXPENSES,  ‣ Fee and Commission Expenses,6,2,VNĐ,-96247403070.0
2026-Q2,IS_NET_GAIN_LOSS_FROM_FOREIGN_CURRENCIES_AND_GOLD_TRADING,Net Gain Loss from Foreign Currencies and Gold Trading,7,1,VNĐ,42590801892.0
2026-Q2,IS_NET_GAIN_LOSS_FROM_TRADING_SECURITIES,Net Gain Loss from Trading Securities,8,1,VNĐ,-3260902800.0
2026-Q2,IS_NET_GAIN_LOSS_FROM_INVESTMENT_SECURITIES,Net Gain Loss from Investment Securities,9,1,VNĐ,-10828282448.0
2026-Q2,IS_NET_OTHER_INCOME,Net Other Income,10,1,VNĐ,255395719951.0
2026-Q2,IS_OTHER_INCOME,  ‣ Other Income,11,2,VNĐ,271596838880.0
2026-Q2,IS_OTHER_EXPENSES,  ‣ Other Expenses,12,2,VNĐ,-16201118929.0
2026-Q2,IS_INCOME_FROM_CAPITAL_CONTRIBUTION_AND_LONG_TERM_INVESTMENTS,  ‣ Income from Capital Contribution and Long Term Investments,13,2,VNĐ,0.0
2026-Q2,IS_TOTAL_OPERATING_INCOME,  ‣ Total Operating Income,14,2,VNĐ,3205362002175.0
2026-Q2,IS_OPERATING_EXPENSES,  ‣ Operating Expenses,15,2,VNĐ,
