id,item,level,order,unit,2022-Q2,2022-Q3,2022-Q4,2023,2023-Q1,2023-Q2,2023-Q3,2023-Q4,2024,2024-Q1,2024-Q2,2024-Q3,2024-Q4,2025,2025-Q1,2025-Q2,2025-Q3,2025-Q4,2026-Q1,2026-Q2
IS_PROFIT_BEFORE_TAX,IS_PROFIT_BEFORE_TAX,1,8,VNĐ,1319061000000.0,1532027000000.0,1899038000000.0,9595000000000.0,2382528000000.0,2372538000000.0,2085293000000.0,2754641000000.0,12720365000000.0,2654223000000.0,2688040000000.0,2751738000000.0,4626364000000.0,7628025000000.0,3674030000000.0,3657242000000.0,3656898000000.0,-3360145000000.0,2106205000000.0,2029891000000.0
IS_NET_PROFIT_AFTER_TAX,IS_NET_PROFIT_AFTER_TAX,1,9,VNĐ,803889000000.0,1211607000000.0,1751123000000.0,7718616000000.0,1899957000000.0,1925126000000.0,1634592000000.0,2258942000000.0,10087495000000.0,2111405000000.0,2176839000000.0,2201173000000.0,3598078000000.0,5939111000000.0,2896692000000.0,2893598000000.0,2901283000000.0,-2752462000000.0,1584404000000.0,1346691000000.0
IS_MINORITY_INTEREST,IS_MINORITY_INTEREST,1,10,VNĐ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BS_CASH_AND_PRECIOUS_METALS,BS_CASH_AND_PRECIOUS_METALS,1,11,VNĐ,9744491000000.0,10350463000000.0,7849898000000.0,7545270000000.0,10542632000000.0,10561798000000.0,10291802000000.0,7545270000000.0,8214653000000.0,8487570000000.0,7051295000000.0,8901439000000.0,8214653000000.0,5401563000000.0,8497715000000.0,8185140000000.0,9149135000000.0,5401563000000.0,5956879000000.0,5929857000000.0
BS_FIXED_ASSETS,BS_FIXED_ASSETS,1,18,VNĐ,7847586000000.0,7966533000000.0,7547677000000.0,7269440000000.0,7326557000000.0,7125339000000.0,7221610000000.0,7269440000000.0,7355128000000.0,7376050000000.0,7273402000000.0,7384591000000.0,7355128000000.0,7044615000000.0,7357477000000.0,7205630000000.0,7110464000000.0,7044615000000.0,7006973000000.0,6937711000000.0
BS_TOTAL_ASSETS,BS_TOTAL_ASSETS,1,19,VNĐ,551422119000000.0,564192851000000.0,591994201000000.0,674389660000000.0,596693994000000.0,622177662000000.0,651288299000000.0,674389660000000.0,748094546000000.0,693534553000000.0,717312771000000.0,702985596000000.0,748094546000000.0,917119803000000.0,757093326000000.0,807339224000000.0,848942045000000.0,917119803000000.0,859571527000000.0,892048566000000.0
BS_TOTAL_LIABILITIES,BS_TOTAL_LIABILITIES,1,23,VNĐ,515623994000000.0,527252603000000.0,553367205000000.0,628655796000000.0,556136201000000.0,580384648000000.0,607578312000000.0,628655796000000.0,693122476000000.0,645625554000000.0,668234822000000.0,651705096000000.0,693122476000000.0,857253059000000.0,699230949000000.0,747518017000000.0,786237253000000.0,857253059000000.0,798094916000000.0,829241317000000.0
BS_CHARTER_CAPITAL,BS_CHARTER_CAPITAL,1,24,VNĐ,18852157000000.0,18852157000000.0,18852157000000.0,18852157000000.0,18852157000000.0,18852157000000.0,18852157000000.0,18852157000000.0,18852157000000.0,18852157000000.0,18852157000000.0,18852157000000.0,18852157000000.0,18852157000000.0,18852157000000.0,18852157000000.0,18852157000000.0,18852157000000.0,18852157000000.0,18852157000000.0
CF_NET_CASH_FLOWS_FROM_OPERATING_ACTIVITIES,CF_NET_CASH_FLOWS_FROM_OPERATING_ACTIVITIES,1,26,VNĐ,3239456000000.0,634175000000.0,4280870000000.0,26751354000000.0,9300595000000.0,8322227000000.0,9785041000000.0,-661401000000.0,38365249000000.0,12979972000000.0,14133492000000.0,-9834813000000.0,21086598000000.0,92478004000000.0,-4502482000000.0,27495787000000.0,11877928000000.0,57606771000000.0,-58545352000000.0,17064706000000.0
CF_NET_CASH_FLOWS_FROM_INVESTING_ACTIVITIES,CF_NET_CASH_FLOWS_FROM_INVESTING_ACTIVITIES,1,27,VNĐ,1532442000000.0,-313516000000.0,593425000000.0,-1254833000000.0,-278233000000.0,-302760000000.0,472582000000.0,-1141530000000.0,-1007900000000.0,-197483000000.0,-220895000000.0,-206718000000.0,-382804000000.0,-764340000000.0,-106676000000.0,-188633000000.0,-114593000000.0,-354438000000.0,-128122000000.0,-19476000000.0
